,device_id,logins
11,"{'1afcdc6f-6722-4511-813a-e56da504066c', '620d90df-1d7f-429a-a5da-53d95f7a0567', '45044693-dd90-4380-a68b-03f3daa70b40', '573ec2f5-d0fa-42c0-947a-74920c31caea', 'aed2f512-185d-43de-b5a0-aa88383b7420', '91579994-1642-4be7-890c-bab57cefcced', '09c9605c-ed13-4d5b-8d61-1ef374090cf5', '26943dc7-3dd1-442d-a1f2-d3e1ef775578', 'c712d00c-23c7-4559-a3b0-08a295ae581e', '5e861fee-dbd7-4f62-ab8c-5ba761997c5c', 'e5f926cd-b817-4ebb-988f-c8f04ecdd269', '990632bb-d0a2-4182-8146-f9f111f08f9b', '906c2132-a87d-4035-81b6-095985fe6407', 'd39fe10c-dd22-47f2-8089-01704e2dfe41', '00490cc9-6285-4dab-8ac8-73c4da54e60c', '7858bfe8-4bc9-4844-8fe4-a6b9ab082c39', 'd554259d-6869-49d1-8a21-859359abbecf', 'bd6a997a-c219-411b-a853-d92a314394d4', '77cea690-aeb1-44a1-896b-c3f3c00b779b', '6cd55bb5-d185-4644-a17a-24430a3e8a4c'}",{'53dca5ddd5c723e0fdc3ab12463327cd2ff00f3d'}
12,"{'952b2429-146c-4f4b-b303-6d3154e93310', '9f581e50-77d0-4138-96b3-b63e22ccb775', 'a8c86dee-4e9f-42f9-ba8d-39df9a927555', '07d58eaa-ead2-43b5-8c90-680a405cb8fa', '1ec35387-6cb0-4485-97fe-2ca0e3b34b15'}",{'e206d1c16e8845fa0f8a1e66a4a3937cff7e0af9'}
13,"{'3fef384e-0b4a-447d-a2a3-3787b66bbcf3', 'cdaa8ca3-344d-4f0b-ab6c-13f300f5f08d', '7c4a8c10-c96a-4d5c-b3c6-54f924ec9a04'}",{'e34cede14d7469957986c632404885265d595d24'}
14,"{'0c6d0d1f-b2f0-4076-9f5a-984d37424068', '4eb61ee3-dc31-4e77-8705-bb1ef73827cb'}",{'8d8e0a4a043e95861e8c188c5a5bbebe3342a837'}
15,{'a41cabe0-17c2-48c2-b7db-e21015efc9d0'},{'7353b459a3eaa9a0fe5848c3e7a653ff646838ea'}
16,"{'25f5539d-9f43-4199-b0dd-3e604d4c27be', '18f7fdd0-aeb9-4201-a9e2-044b2a7c5366', 'fcfe977b-648a-4c41-b521-330ebeed621f'}","{'0dd2108d17a082538340130b62928a30f69fff05', 'a4c852a45a4cd3ac4a74690fa91957bfb3a591bb', '12747d01dfa0407448ecbb5c244ef333540094ca', 'e5dfa98a5de2e1d84f36c6a39d0f8f4323adc0b4', '1b24fe297b23c4d680e28066ff34ec74deb68b64', '63a8021382b4b78f68f2828b1f322adcacdfde6c', 'ed72e5835fd51a338a4b574f47b150338197f2a7', 'ea1d3fe38be9b3554b8171c001daccff78a88294', '4f0235221d92da7b400e271cae7294214e3f2d03', '86e3d893482b2894180defd42e44adc68e306c71', 'a0f598fcba65f4618b573137151aace7aec428ad', '9f7f8f51a3be8ec3d874f5f48cbddc420a57f1e4', '0964694ffbf178a10a355287abe2bacd7c400a50', '0881b4c3f00205a0c03bfbccc2634616dd5b80af', '99b49dbda7fafba4a0919672a0e3e504a80004fe', 'eccc87277af07405420f57d5be493d3b3497e3ab', 'e63ffbdaa7c070283fba63b97a8d91699eaadb62', '149283d8d90bbfac2eccced18fdfa6493b394501', '8704f642aa1555efed0750a90822f8b9e22a8717'}"
17,{'6e343e7d-8f1e-46a0-b16e-a39be354a2b0'},"{'9edeade90b3555fb19e931311d359f2c01744b08', 'a4d95dd638fb27a908640176cee0964bbeaab34a', '5148d5ddce8a1d544badc45a4a1b7ac5d9852a0c', 'a86bcb45a199b5606b5a6feeff688a37b48697d3', 'c89d74aee507c01719dcb75f20be5217bed926ea', 'c1dfd96eea8cc2b62785275bca38ac261256e278', 'a72b20062ec2c47ab2ceb97ac1bee818f8b6c6cb', '30c66e38bd59562f5489a501aa9a8edda3c88b66', '361678d7ab31e50741cba38075bf33d319e8da7e', 'a0da42cc28e4229949ad993d5cab7d02dd13808a', '8666e1e6084dc8e20443de41f6826d13d4e3b32b', '22ea1c649c82946aa6e479e1ffd321e4a318b1b0'}"
18,{'a156818e-d8c2-4892-96d3-4e938f81b909'},"{'ed72e5835fd51a338a4b574f47b150338197f2a7', '8704f642aa1555efed0750a90822f8b9e22a8717'}"
19,{'bb6b7212-5955-40b3-a2ed-51b5a5fbdbb7'},"{'581483ddf74e51ed61f731df8020496114e68030', 'a5db106218666c3b768cd5e1a788cbd810026204', '8b6cd49607cb95858b085579588bc5953081da17', 'ac3478d69a3c81fa62e60f5c3696165a4e5e6ac4', '28cfbd6895a15054bdd4688cd78d04b6c7df012c', '43bcc8d741333a89f69285e559b4b1e490333fa3', '6ada8e31523d234e6488b625712180a2a8e2f0dd', '80afc1424c56f6d11ac4f3c73107cbf028a74c58', 'eb669f9f455731c3fdcd2820a77e6b8965b37562', '51f784cde1916288e8d6b90abef0751c3cd450ec', 'a93cb97a1bc8b9b1e6fbc6b6d64f7ee5d873db87', 'aa169a9c13bf9673ed44faf9d3d313a4b06d8ddf', 'a91dcbb4df49d8bfe0a9930d7ff911a4292ca1f5', '31bdb65b2cdc30964a56dca47dbc97a8d82ebdab', 'a592c88d44cb0d9f0dcd42f100254ee2040e0fd1', '6b0d31c0d563223024da45691584643ac78c96e8', '4cd66dfabbd964f8c6c4414b07cdb45dae692e19', '2a3ef3b64da060198d2a346198bfa243556e2b14', '188d6e6cd9544a81b3ded5ef365ba3a2bf919956', '46da8e1c372c6ca0bf043669a227fc5f5d415eb4', 'aa776ab6638fcef1f9044974985f7aaeceb5779a', 'f1e85334770ff1bee87bb43fb977ae1670893e7a', '5a4b369c668f56e4b7362c58f40cef5390b90822', 'd724bf00ea2b596c1b19c5c0b1fe343ea2e80916', '0b4d203bfc3c8bb610b7fe765febf23cc2970d1c'}"
20,{'2343d5ce-b857-4134-8c54-727efa89a526'},"{'fcfcf676e0fc84f1b41f8fa4e84aa77d6cfccf3c', '9edeade90b3555fb19e931311d359f2c01744b08', '21ba888cccc78dc3624957c9db43524e91bd22a4'}"
